clade_name	clade_taxid	E0000355	E0000361	E0000362	E0000369	E0000376	E0000378	E0000382	E0000393	E0000404	E0000410	E0000416	E0000418	E0000419	E0000420	E0000426	E0000428	E0000432	E0000433	E0000435	E0000442	E0000466	E0000467	E0000471	E0000478	E0000480	E0000482	E0000488	E0000490	E0000495	E0000498	E0000501	E0000502	E0000516	E0000520	E0000521	E0000522	E0000527	E0000531	E0000537	E0000539	E0000540	E0001336	E0001340	E0001346	PV101516	PV101570	PV101581	PV101643	PV101656	PV101894	PV101895	PV101929	PV101945	PV101948	PV101962	PV102349	PV102418	PV102462	PV102474	PV102574	PV102580	PV19497	PV19551	PV19565	PV19588	PV19658	PV19708	PV19755	PV19834	PV19855	PV19856	PV19882	PV19936	PV19942	PV19991	PV20005	PV20541	PV20544	PV20615	PV21638	PV21671	PV21690	PV21772	PV21813	PV21876	PV23791	PV23961	PV24015	PV49580
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Candidatus_Stoquefichus	2|1239|526524|526525|128827|1470349	0	0.00403	0	0	0.00752	0	0	0	0	0	0	0	0	0.00155	0	0.01329	0.18212	0.00776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00192	0	0	0	0	0.9452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Candidatus_Stoquefichus|s__Candidatus_Stoquefichus_sp_KLE1796	2|1239|526524|526525|128827|1470349|1574263	0	0.00403	0	0	0.00752	0	0	0	0	0	0	0	0	0.00155	0	0.01329	0.18212	0.00776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00192	0	0	0	0	0.9452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium	2|1239|526524|526525|128827|135858	0	0	0	0	0	0	0	0	0	0	0.34985	0	0	0	0	0.01983	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12234	0	0	0	0	0	0	0	0.32491	0	0	0	0	0	0	0	0	0	0.10325	0	0	0	0	0	0	0	0	0	0	0	0.15368	0	0	0	3.01869	0	0	0	0	0.3552	0	0	0	0	0	0	0	0.31647	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium|s__Catenibacterium_mitsuokai	2|1239|526524|526525|128827|135858|100886	0	0	0	0	0	0	0	0	0	0	0.34985	0	0	0	0	0.01983	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12234	0	0	0	0	0	0	0	0.32491	0	0	0	0	0	0	0	0	0	0.10325	0	0	0	0	0	0	0	0	0	0	0	0.15368	0	0	0	3.01869	0	0	0	0	0.3552	0	0	0	0	0	0	0	0.31647	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	2|1239|526524|526525|128827|100883	0	0	0.05222	0	0.00208	0	0	0	0	0	0.00158	0	0	0.00287	0	0	0.00234	0	0	0	0	0.02354	0	1.79892	0.01237	0.00675	0	0	0	0	0	0.01477	0	0	0	0	0	0	0	0.17898	0	0	0.01136	0.0004	0.00324	0	0.00482	0.00032	0.30396	0.00262	0	0	0	0	0.00041	0	0	0	0	0.00025	0.00055	0	0.0434	0	0	0	0	0	0	0	0.01441	0.22374	0	0	0.00372	0.04441	0	0	0	0	0	0	0	0	0	0.49413	0.01539	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_cateniformis	2|1239|526524|526525|128827|100883|100884	0	0	0.05222	0	0.00208	0	0	0	0	0	0.00158	0	0	0.00287	0	0	0.00234	0	0	0	0	0.02354	0	1.79892	0.01237	0.00675	0	0	0	0	0	0.01477	0	0	0	0	0	0	0	0.17898	0	0	0.01136	0.0004	0.00324	0	0.00482	0.00032	0.30396	0.00262	0	0	0	0	0.00041	0	0	0	0	0.00025	0.00055	0	0.0434	0	0	0	0	0	0	0	0.01441	0.22374	0	0	0.00372	0.04441	0	0	0	0	0	0	0	0	0	0.49413	0.01539	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dielma	2|1239|526524|526525|128827|1472649	0	0.0001	0.0378	0	0	0	0	0	0.00126	0.00964	0.00335	0.00031	0	0	0.00534	0.01524	0.04209	0.00054	0	0.04422	0.00338	0	0.00159	0	0	0	0.00329	0	0.00209	0	0.01091	0.01232	0	0	0	0	0	0.00302	0	0.21463	0	0.00166	0	0.00171	0.00185	0	0.02874	0	0	0	0	0.00235	0	0	0	0	0	0	0	0	0.00208	0	0	0	0	0.00641	0.00011	0.00374	0.00027	0.00944	0	0.00559	0	0.00387	0	0	0	0	0	0	0	0	0	0.00317	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dielma|s__Dielma_fastidiosa	2|1239|526524|526525|128827|1472649|1034346	0	0.0001	0.0378	0	0	0	0	0	0.00126	0.00964	0.00335	0.00031	0	0	0.00534	0.01524	0.04209	0.00054	0	0.04422	0.00338	0	0.00159	0	0	0	0.00329	0	0.00209	0	0.01091	0.01232	0	0	0	0	0	0.00302	0	0.21463	0	0.00166	0	0.00171	0.00185	0	0.02874	0	0	0	0	0.00235	0	0	0	0	0	0	0	0	0.00208	0	0	0	0	0.00641	0.00011	0.00374	0.00027	0.00944	0	0.00559	0	0.00387	0	0	0	0	0	0	0	0	0	0.00317	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Eggerthia	2|1239|526524|526525|128827|1279384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Eggerthia|s__Eggerthia_catenaformis	2|1239|526524|526525|128827|1279384|31973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
